order_id,customer_name,customer_email,customer_phone,order_date,status,total_amount,channel_name,shipping_method,payment_method
1,Martin Gonzales,martinezcody@example.com,0390577696,1986-12-08,Shipped,82868825.11,Online,Next Day,Debit Card
2,Deanna Sullivan,nfisher@example.net,1934171026,2001-12-02,Processing,84717563.18,Phone,Standard,PayPal
3,Tonya Brown,catherineguerrero@example.net,2279501120,2008-05-11,Shipped,59925052.01,In-Store,Standard,Credit Card
4,John Jenkins,warnerleslie@example.net,1086477219,2002-04-03,Shipped,77514439.29,Phone,Express,PayPal
5,Patrick Harper,matthew58@example.org,0297814913,2024-11-21,Delivered,43258242.93,Phone,Express,Debit Card
6,Susan Foley,dondavis@example.net,5882577291,1983-11-13,Pending,19480145.85,In-Store,Standard,Credit Card
7,Ana Martinez,hansonjerry@example.com,3490636547,2022-12-02,Cancelled,31865198.71,Online,Standard,Credit Card
8,Mr. Julian Hart,kingamy@example.net,4818809614,2025-04-24,Processing,96261757.47,Online,Express,PayPal
9,Jay Alexander,emilychoi@example.com,9835579504,1999-12-29,Shipped,90495773.35,In-Store,Express,PayPal
10,Jerry Evans,phoward@example.org,9662863662,2024-06-01,Processing,97753546.81,Online,Next Day,Credit Card
11,Erin Noble,diazpeter@example.com,7825795790,1983-12-02,Pending,61343377.13,Phone,Standard,PayPal
12,Robert Brewer,christopher08@example.org,1946850878,2001-09-20,Pending,71643799.49,In-Store,Standard,PayPal
13,Jeffrey Young,ericksonjuan@example.org,3058410272,1974-07-15,Processing,89383680.98,Phone,Standard,Credit Card
14,Gwendolyn Maldonado,bthompson@example.com,6085355053,1990-08-31,Delivered,16743466.45,Mobile App,Express,Cash
15,Charles Arias MD,kylewhite@example.net,1287135070,1986-02-16,Cancelled,83481095.72,Mobile App,Standard,Cash
16,Samantha Jordan,blackwelljean@example.org,1253195646,1983-08-15,Shipped,64163703.52,Online,Express,Credit Card
17,Matthew White,robert78@example.com,7321908132,1988-01-02,Pending,40121349.87,Online,Next Day,Credit Card
18,Lauren Murillo,jeremysullivan@example.net,0610117619,1972-02-03,Delivered,82152477.14,Online,Standard,Credit Card
19,Jeffrey Carlson,joshuanorton@example.org,6635778900,2023-07-30,Pending,15429395.2,Online,Standard,Cash
20,Christopher English,dawnsmith@example.net,0513039262,1990-08-03,Cancelled,38359666.36,In-Store,Express,Cash
21,Bruce Sanders,haleyjohnson@example.org,6788928574,2024-09-06,Pending,17809031.24,Online,Express,PayPal
22,Jennifer Bryan,timothy63@example.com,4964203795,1974-04-29,Cancelled,67618047.9,Phone,Express,Debit Card
23,Richard George,andrew08@example.org,8175714071,2025-05-30,Pending,26685548.62,Online,Next Day,Credit Card
24,Jacob Frank,stevengonzalez@example.org,3148488616,1990-01-10,Delivered,40793053.44,Phone,Standard,Debit Card
25,James Guerrero,jessicahall@example.com,7607624683,2018-03-28,Cancelled,83963638.37,Phone,Standard,Cash
26,Tyler Scott,stephenseileen@example.net,3667641713,2015-02-01,Shipped,62055498.99,In-Store,Standard,Cash
27,Natalie Howell,steven14@example.org,8538503710,2024-06-11,Cancelled,85158644.01,Phone,Next Day,PayPal
28,Brian Browning,mark90@example.com,9895521470,1971-08-17,Delivered,16188711.28,Online,Next Day,PayPal
29,Jo Pennington,jimenezashley@example.com,7265031623,1980-12-25,Processing,21380751.37,Mobile App,Express,Cash
30,Janet Rasmussen,burtonvictoria@example.com,9879758315,2024-04-14,Processing,72251984.39,Online,Express,Credit Card
31,Theresa Jackson,scottjulie@example.com,1231946952,2022-03-09,Cancelled,63758784.13,Online,Express,Debit Card
32,Justin Grant,garciajames@example.net,8068456563,1978-10-19,Processing,61895636.31,Phone,Express,Cash
33,Larry Ramirez,lisa43@example.net,9136212100,1984-10-10,Cancelled,64846163.78,Mobile App,Next Day,Credit Card
34,Colin Anderson,wattsjeffrey@example.com,0366852873,1993-12-06,Delivered,41741426.67,Phone,Next Day,Cash
35,Michelle Sandoval,fthomas@example.org,4789909728,1977-09-12,Shipped,75028407.25,In-Store,Next Day,Cash
36,Douglas Barnett,jeanlloyd@example.com,6600555677,2012-06-26,Processing,32939758.92,Phone,Express,Credit Card
37,Colin Hubbard,ilevy@example.com,3080098975,1980-06-28,Cancelled,10661178.67,Phone,Standard,PayPal
38,Jamie Johnson,henryhouston@example.org,1940104207,2000-08-06,Delivered,44228675.82,Online,Next Day,PayPal
39,Andrea Johnson,amandalowe@example.org,2448803099,1980-05-15,Shipped,90051213.26,In-Store,Next Day,PayPal
40,Jonathan Howell,jbryant@example.net,6614262743,1970-07-04,Pending,94646997.95,In-Store,Next Day,Debit Card
41,Susan Cook,abigailcrawford@example.net,5832975390,2018-01-21,Processing,74385437.36,Online,Standard,PayPal
42,Laura Pratt,kyle69@example.com,2293878290,1971-01-04,Delivered,13084709.69,Phone,Standard,PayPal
43,Lisa Green,scharles@example.net,4122361514,2009-08-25,Delivered,19785019.31,Online,Express,Cash
44,Jennifer Bell,jennifermcbride@example.org,2185925287,2019-03-08,Processing,43254032.53,Phone,Express,Cash
45,Rachel Herman,andrew71@example.com,3179911314,1972-08-28,Pending,71983701.35,Mobile App,Standard,PayPal
46,William Hernandez,morganjensen@example.net,7670183308,1974-10-30,Delivered,44775332.24,Online,Next Day,Debit Card
47,Sandra Henry,savagejames@example.net,9689040730,1975-10-07,Pending,27232303.28,In-Store,Express,Cash
48,Leah Gutierrez,christinamckenzie@example.org,8907473276,2008-03-11,Delivered,90385745.79,Online,Next Day,Credit Card
49,Jennifer Edwards,davisluis@example.net,2436032389,2023-04-18,Cancelled,30696155.49,Mobile App,Express,Credit Card
50,Andrea Patterson,jeffreylarsen@example.org,7992507475,2016-08-01,Delivered,17152887.17,Phone,Standard,Cash
51,Lisa Ramirez DDS,paulmills@example.com,0783725568,1971-07-04,Cancelled,33638290.18,Phone,Express,Cash
52,Katrina Jacobson,jamesreilly@example.com,3602633458,2020-04-30,Cancelled,96031283.58,Phone,Express,PayPal
53,Daniel Davis,sarahhamilton@example.com,9504635267,1982-11-17,Cancelled,14582327.02,Phone,Standard,PayPal
54,James Marsh,gomezcynthia@example.net,9310569506,2017-08-26,Processing,27572957.34,Phone,Next Day,PayPal
55,Jason Washington,christopherwhite@example.net,1842248103,2001-02-17,Shipped,75565300.16,In-Store,Next Day,Cash
56,Jenna Rice,donnabarker@example.org,8047537895,1995-07-05,Cancelled,98484766.85,In-Store,Next Day,Credit Card
57,Monique Robinson,brandon83@example.org,4029038464,2003-10-19,Pending,75795493.7,Online,Express,Cash
58,Anita Miller,jennifer18@example.org,1716800471,2013-03-02,Pending,78859511.77,Phone,Next Day,Debit Card
59,Cheryl Farrell,chandlertina@example.com,3536286553,1984-08-02,Cancelled,15648300.29,Online,Standard,Debit Card
60,Maureen Griffin,shirley04@example.org,4473813871,2004-09-07,Pending,54679180.4,Online,Standard,Credit Card
61,Jo Thornton,jenniferrangel@example.org,3067618234,1980-06-13,Shipped,66453762.95,Phone,Next Day,Credit Card
62,Autumn Randall,qdawson@example.com,5379568375,2001-06-07,Cancelled,62043601.65,Phone,Next Day,Debit Card
63,Dr. Mathew Mckinney,fishervictoria@example.org,8939471385,1979-10-21,Processing,44079489.24,In-Store,Standard,PayPal
64,Susan Montgomery,jonsimmons@example.net,5196339365,2006-06-21,Pending,23297690.78,Phone,Express,Cash
65,Megan Maddox,rmelton@example.net,7070084558,1985-06-10,Pending,34683490.92,Online,Express,PayPal
66,Austin Schmidt,juliemendoza@example.org,0231577381,2025-06-27,Delivered,43305241.99,Online,Next Day,Cash
67,Melissa Hall,smithmelissa@example.net,5068548388,2024-02-06,Pending,13475694.39,Phone,Express,Debit Card
68,Crystal Smith,brittneyjohnson@example.org,1481284498,1974-10-24,Delivered,41389966.06,Phone,Standard,Credit Card
69,Barry Velasquez,uhill@example.com,1488779065,1984-12-27,Cancelled,33518299.49,Online,Express,Cash
70,Christopher Lozano,james55@example.net,8599436663,2024-02-20,Shipped,55054014.51,In-Store,Next Day,Debit Card
71,Anne Parrish,ralph09@example.net,4750027932,1970-07-19,Shipped,28090593.94,Online,Express,Debit Card
72,Kathleen Marshall,kharrison@example.com,6165192153,2006-01-20,Pending,74515623.32,In-Store,Express,Cash
73,Brandon Nelson,christopher40@example.net,7005862124,2022-08-17,Shipped,30839665.86,Online,Express,Debit Card
74,Ashley Johnson,xcastaneda@example.org,8694678984,1991-09-12,Cancelled,26979458.38,Mobile App,Standard,Debit Card
75,David Arroyo,tlopez@example.org,5740117911,2001-10-19,Pending,73177428.01,Phone,Next Day,Cash
76,Joseph Drake,arroyodebra@example.org,4639651797,2004-03-12,Cancelled,46613815.41,Online,Standard,Credit Card
77,Christopher Andrews,jose07@example.com,6083339614,2020-06-16,Cancelled,26902838.45,Phone,Next Day,Credit Card
78,Eric Hall,boyerroberta@example.net,8871380223,1994-02-27,Delivered,40456976.1,Online,Next Day,Cash
79,Margaret Norman,dodsonrandall@example.org,2257038311,1999-08-08,Shipped,47788907.31,Online,Next Day,Cash
80,Tiffany Cannon,ashley02@example.net,0637780289,2001-11-29,Pending,80659269.48,Phone,Next Day,Credit Card
81,Stephen Martin,znorman@example.org,6080650566,2007-08-18,Delivered,41085570.14,In-Store,Express,Debit Card
82,Christopher Duran,mshaffer@example.org,7368091211,1980-06-02,Shipped,73517156.99,In-Store,Express,Cash
83,Tamara Henry,darren58@example.org,7868034148,2007-12-22,Processing,12258856.76,Mobile App,Express,Debit Card
84,Samantha Anderson,medinakenneth@example.com,3768706103,2014-04-07,Processing,19437288.17,Phone,Standard,Cash
85,Thomas Mathews,brenda14@example.com,0320807835,1991-12-16,Shipped,35582974.23,Phone,Standard,Cash
86,Elijah Reeves PhD,fhunt@example.com,0347285182,2006-11-07,Pending,95281435.88,Phone,Express,Credit Card
87,Andrea Perry,jason12@example.org,2568571858,1982-08-26,Delivered,48495247.69,Mobile App,Express,PayPal
88,Michael Miller,evansjeffrey@example.org,7039003054,1979-11-19,Processing,47086944.33,Online,Standard,Credit Card
89,Andrew Terry,fcarr@example.org,4960487100,1996-06-20,Delivered,26896611.83,Mobile App,Next Day,PayPal
90,Christian Delgado,gravescrystal@example.net,6276420660,1982-02-02,Shipped,12625089.71,Mobile App,Standard,Credit Card
91,Michael Baker,vasqueztaylor@example.com,2868436216,2000-08-15,Pending,29449747.7,Phone,Next Day,PayPal
92,Kristen Richardson,jameslee@example.com,7817446435,1974-09-18,Cancelled,77721169.14,Online,Express,PayPal
93,Charles Holder,codymayo@example.org,5027828903,2002-12-24,Cancelled,35008089.81,Online,Express,Credit Card
94,Michelle Evans,vlevy@example.com,1891038355,1971-08-09,Delivered,51539685.94,Phone,Next Day,Cash
95,Anthony Allison,susanfrazier@example.net,1379276414,2019-05-18,Pending,84424634.97,Online,Standard,Cash
96,Todd Chang,harringtoncrystal@example.net,5480492304,2008-06-16,Cancelled,96023118.96,Mobile App,Standard,PayPal
97,Tammy Schneider,evanschristina@example.net,0745726518,2014-08-19,Delivered,88698770.98,In-Store,Express,Credit Card
98,Anthony Peterson,nrivas@example.org,3688478380,2013-11-15,Delivered,22186300.75,Mobile App,Express,Credit Card
99,Laura Prince,stewartrobert@example.com,8824227732,1999-12-15,Delivered,82290721.78,Phone,Express,Cash
100,Holly Murphy,woodwarddavid@example.org,9029711509,1990-02-23,Pending,65384488.6,Mobile App,Standard,Cash
101,Erin Williams,kellie85@example.com,7208550884,1981-12-09,Shipped,62926003.73,In-Store,Express,PayPal
